locality_name,bmc_ward_code,confidence,note
Colaba,A,high,"A ward = Fort, Ballard Estate, Churchgate, Colaba"
Marine Lines,C,high,"C ward = Chandanwadi, Netaji Road, Marine Lines"
Grand Road,D,medium,"Likely 'Grant Road' (D ward: Grant Road, Walkeshwar, Opera House) -- verify spelling against original paper"
Byculla,E,high,"E ward = Byculla, Shuklaji Street, Wadi Bunder"
Parel,F/S,high,"F(S) ward = Parel, Sewri, Elphinstone Road"
Elphinstone,F/S,high,"Same ward as Parel above -- these may be two sub-localities within one ward, not two separate wards. Verify whether the paper treated them as one unit or genuinely separate zones."
Matunga,F/N,high,"F(N) ward = Matunga, Dadar (E)"
Dadar,F/N or G/N,LOW - AMBIGUOUS,"Dadar is split: Dadar(E) is F/N, Dadar(W) is G/N. The paper's 'Dadar' entry does not specify which. Needs manual decision or averaging both wards."
Bandra,H/E or H/W,LOW - AMBIGUOUS,"Bandra is split: Bandra(E) is H/E, Bandra(W) is H/W. Same issue as Dadar."
Khar,H/E or H/W,LOW - AMBIGUOUS,"Khar is split the same way as Bandra."
Andheri East,K/E,high,"K(E) ward = Andheri (E), Vile Parle (E)"
Andheri West,K/W,high,"K(W) ward = Andheri (W), Jogeshwari"
Kurla,L,high,"L ward = Kurla"
Chembur East,M/E,medium,"M(E) ward = Govandi, Mankhurd, and part of Chembur -- 'Chembur East' as a distinct label is an approximation"
Chembur West,M/W,medium,"M(W) ward = Chembur (West) -- same caveat as above"
Ghatkopar,N,high,"N ward = Ghatkopar"
Malad,P/N,high,"P(N) ward = Malad"
Goregaon,P/S,high,"P(S) ward = Goregaon"
Borivali,R/C,high,"R(C) ward = Borivali"
Dahisar,R/N,high,"R(N) ward = Dahisar"
Kandivali,R/S,high,"R(S) ward = Kandivali"
Bhandup,S,high,"S ward = Bhandup, Powai"
Mulund,T,high,"T ward = Mulund"
Sandhurst Road,B,medium,"Sandhurst Road station area falls within B ward per BMC containment-zone records, but B ward's core is Masjid Bunder/Dongri -- verify"
